,AG,AG/AC,BCM,BL,DAP,FFA,FQ,GlyP,MDR,MLS,NI,NUC,OXA,PEP,PHE,PLM,SUL,TET,TET-C,TRI,UNC
AG,,,,1.49586451580655,0.5843958169339097,,,-0.3156951086794549,,,,-1.5392027479844255,,,,,-1.6884375048601536,,,,
AG/AC,,,,,,,,,-2.468570230468307,,,,,,,,,,,,
FQ,-1.2776214873490814,,,,,,,,-2.344325180372566,,,,,,,,,,-0.1722493881887054,,
GlyP,,,,,,,,,-4.582954668566586,,,,,,,,,,,,0.034790422460111076
MDR,-1.9505012020170525,-1.470478279701416,0.0051196594545499866,-0.7574602667489199,,0.32193725099237225,-1.8805896698821165,-0.7828285986778942,,-1.3412397072341724,-0.8069994348151491,,0.0870113769896299,,,,,-0.3938520621388082,,1.0606741790267493,0.9369237278833417
MLS,,,,,,,,,-3.517302143212394,,,,-3.508540985310421,,-0.9296551855930428,-2.526560203298534,,,,,
PHE,,,,,,,,,,-2.3110164050431936,,,,,,,,,,,
PMX,,,,,,,,,,,,,,2.2257233702029877,,,,,,,
SUL,-0.08454988114093621,,,,,,-0.06155473423034589,,,,,,,,,,,,,,
TET,,,,,,,,,-3.435628934138387,,,,,,,,,,,,
UNC,,-0.6608071201054818,,,,,,-2.734846697023932,,,,,,-1.0307294539936012,,,,,,,
